일자,자치구명,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2022.05.01,종로구,26.37,27.29,28.26,29.1,29.08,29.44,29.49,28.55,27.55,26.39,24.83,23.07,22.78,21.74,20.62,19.84,20.15,18.43,21.98,23.71,24.05,24.86,25.58,26.74
2022.05.01,중구,25.43,26.35,27.38,28.11,28.4,28.33,27.97,27.45,26.64,25.1,23.78,21.59,20.36,19.75,19.16,19.52,19.67,19.52,21.32,23,23.34,23.78,24.72,24.83
2022.05.01,용산구,30.85,32.27,33.46,34.54,35.1,35.09,34.97,33.54,33.03,31.33,29.06,27.32,26.81,25.86,26,25.17,25.45,25.02,26.59,27.86,28.82,29.12,30.61,32.18
2022.05.01,성동구,30.65,31.66,32.6,33.43,33.12,32.41,31.8,31.56,30.47,29.12,27.71,26.34,25.74,25.05,24.64,24.7,23.91,24.32,25.74,26.71,26.97,27.45,29.03,29.72
2022.05.01,광진구,30.06,31.48,32.38,32.92,33.55,33.24,31.69,30.94,30.49,28.79,26.89,25.77,25.33,24.82,24.45,24.18,24.29,24.24,24.85,25.99,26.46,27.19,28.37,29.51
2022.05.01,동대문구,27.63,28.26,29.06,29.59,29.85,29.38,28.62,28.29,27.44,26.68,25.76,24.95,24.53,24.09,23.88,23.46,23.86,24.06,23.97,24.4,24.73,25.64,26.2,27.18
2022.05.01,중랑구,27.39,28.57,29.59,30.48,30.69,29.44,28.85,27.59,27.43,25.85,23.58,22.73,22.47,21.45,21,21.09,21.44,21.11,21.98,22.58,23.37,23.93,25.23,26.83
2022.05.01,성북구,28.48,29.71,30.69,31.17,31.67,30.38,30.23,29.34,28.07,26.76,25.08,24.42,24.08,23.24,23.23,23.64,23.58,24.42,25.01,24.93,25.67,26.29,27.24,28.57
2022.05.01,강북구,23.98,24.96,25.53,26.41,26.95,25.95,25.41,24.83,24.59,22.81,21.34,20.9,19.91,19.21,19.59,19.98,20.1,20.36,21.45,21.74,21.74,22.73,23.39,24.18
2022.05.01,도봉구,26.35,27.58,27.83,28.78,28.38,27.67,26.98,26.47,25.25,24.26,22.8,21.68,21.31,20.85,20.86,20.66,21.17,21.39,22.09,22.82,23.41,24.32,24.41,25.56
